rank_among_missing,simplified,zipf,pinyin,meaning_cedict,in_cedict
1,可以,6.34,ke3 yi3,can; may; possible; able to; not bad; pretty good,yes
2,问题,6.19,wen4 ti2,question; problem; issue; topic; CL:個|个[ge4],yes
3,不是,6.10,bu4 shi4,no; is not; not,yes
4,已经,6.06,yi3 jing1,already,yes
5,这些,6.05,zhe4 xie1,these,yes
6,发展,6.03,fa1 zhan3,development; growth; to develop; to grow; to expand,yes
7,公司,6.02,gong1 si1,company; firm; corporation; CL:家[jia1],yes
8,社会,5.99,she4 hui4,society; CL:個|个[ge4],yes
9,如果,5.97,ru2 guo3,if; in case; in the event that,yes
10,知道,5.97,zhi1 dao4,to know; to become aware of; also pr. [zhi1dao5],yes
11,日本,5.96,Ri4 ben3,Japan,yes
12,不能,5.94,bu4 neng2,cannot; must not; should not,yes
13,计划,5.94,ji4 hua4,"plan; project; program; to plan; to map out; CL:個|个[ge4],項|项[xiang4]",yes
14,需要,5.93,xu1 yao4,to need; to want; to demand; to require; needs,yes
15,国际,5.89,guo2 ji4,international,yes
16,地区,5.89,di4 qu1,region; area (informal or geographical term); prefecture (in China's administrative system),yes
17,时候,5.89,shi2 hou5,time; length of time; moment; period,yes
18,使用,5.87,shi3 yong4,to use; to employ; to apply; to make use of,yes
19,经济,5.87,jing1 ji4,economy; economic,yes
20,活动,5.86,huo2 dong4,to exercise; to move about; to work out; shaky; unsteady; loose (tooth etc); movable; flexible; liquid (capital etc); (v,yes
21,历史,5.85,li4 shi3,"history; CL:門|门[men2],段[duan4]",yes
22,应该,5.85,ying1 gai1,ought to; should; must,yes
23,不会,5.84,bu4 hui4,"improbable; unlikely; will not (act, happen etc); not able; not having learned to do sth; (coll.) (Tw) don't mention it;",yes
24,以及,5.84,yi3 ji2,and; as well as,yes
25,情况,5.84,qing2 kuang4,"circumstances; state of affairs; situation; CL:個|个[ge4],種|种[zhong3]",yes
26,真的,5.84,zhen1 de5,really; truly; indeed; real; true; genuine; (math.) proper,yes
27,组织,5.84,zu3 zhi1,to organize; organization; (biology) tissue; (textiles) weave; CL:個|个[ge4],yes
28,人民,5.83,ren2 min2,the people; CL:個|个[ge4],yes
29,其他,5.83,qi2 ta1,other; (sth or sb) else; the rest,yes
30,网站,5.82,wang3 zhan4,website,yes
31,香港,5.82,Xiang1 gang3,"Hong Kong, special administrative region (SAR) of the PRC (abbr. to 港[Gang3])",yes
32,生活,5.81,sheng1 huo2,to live; life; livelihood,yes
33,通过,5.80,tong1 guo4,to pass through; to get through; to adopt (a resolution); to pass (legislation); to pass (a test); by means of; through;,yes
34,必须,5.79,bi4 xu1,to have to; must; compulsory; necessarily,yes
35,所以,5.78,suo3 yi3,therefore; as a result; so; the reason why,yes
36,所有,5.78,suo3 you3,all; to have; to possess; to own,yes
37,包括,5.77,bao1 kuo4,to comprise; to include; to involve; to incorporate; to consist of,yes
38,一些,5.76,yi1 xie1,some; a few; a little; (following an adjective) slightly ...er,yes
39,决定,5.76,jue2 ding4,"to decide (to do something); to resolve; decision; CL:個|个[ge4],項|项[xiang4]; certainly",yes
40,其中,5.75,qi2 zhong1,among; in; included among these,yes
41,北京,5.75,Bei3 jing1,"Beijing municipality, capital of the People's Republic of China (abbr. to 京[Jing1])",yes
42,觉得,5.75,jue2 de5,to think that ...; to feel that ...; to feel (uncomfortable etc),yes
43,影响,5.74,ying3 xiang3,influence; effect; to influence; to affect (usually adversely); to disturb; CL:股[gu3],yes
44,喜欢,5.73,xi3 huan5,to like; to be fond of,yes
45,不过,5.72,bu4 guo4,only; merely; no more than; but; however; anyway (to get back to a previous topic); cannot be more (after adjectival),yes
46,希望,5.72,xi1 wang4,to hope; a hope; a wish (CL:個|个[ge4]),yes
47,提供,5.72,ti2 gong1,to offer; to supply; to provide; to furnish,yes
48,要求,5.72,yao1 qiu2,to request; to require; requirement; to stake a claim; to ask; to demand; CL:點|点[dian3],yes
49,不同,5.71,bu4 tong2,different; distinct; not the same; not alike,yes
50,电影,5.71,dian4 ying3,"movie; film; CL:部[bu4],片[pian4],場|场[chang3]",yes
51,不要,5.70,bu4 yao4,don't!; must not,yes
52,关系,5.69,guan1 xi5,relation; relationship; to concern; to affect; to have to do with; guanxi; CL:個|个[ge4],yes
53,研究,5.69,yan2 jiu1,research; a study; CL:項|项[xiang4]; to research; to look into,yes
54,根据,5.68,gen1 ju4,according to; based on; basis; foundation; CL:個|个[ge4],yes
55,系统,5.68,xi4 tong3,system; CL:個|个[ge4],yes
56,任何,5.67,ren4 he2,any; whatever; whichever,yes
57,服务,5.67,fu2 wu4,to serve; service; CL:項|项[xiang4],yes
58,结果,5.67,jie1 guo3,to bear fruit,yes
59,这里,5.67,zhe4 li3,variant of 這裡|这里[zhe4 li3],yes
60,因此,5.66,yin1 ci3,thus; consequently; as a result,yes
61,游戏,5.66,you2 xi4,game; CL:場|场[chang3]; to play,yes
62,虽然,5.66,sui1 ran2,although; even though (often used correlatively with 可是[ke3 shi4] or 但是[dan4 shi4] etc),yes
63,代表,5.65,dai4 biao3,"representative; delegate; CL:位[wei4],個|个[ge4],名[ming2]; to represent; to stand for; on behalf of; in the name of",yes
64,而且,5.65,er2 qie3,(not only ...) but also; moreover; in addition; furthermore,yes
65,一直,5.64,yi1 zhi2,straight (in a straight line); continuously; always; all the way through,yes
