simplified,zipf,nid,existing_decks,pinyin
可以,6.34,1393817665814,Archive::Words,ke3 yi3
问题,6.19,1393817665839,Archive::Words,wen4 ti2
不是,6.10,1537328239567,Archive::Words,bu4 shi4
已经,6.06,1707756789985,Archive::Words,yi3 jing1
这些,6.05,1537328242108,Archive::Words,zhe4 xie1
发展,6.03,1393817666547,Archive::Words,fa1 zhan3
公司,6.02,1393817665863,Archive::Words,gong1 si1
社会,5.99,1537328245518,Archive::Words,she4 hui4
如果,5.97,1537328241460,Archive::Words,ru2 guo3
知道,5.97,1393817665802,Archive::Words,zhi1 dao4
日本,5.96,1537328241034,Archive::Words,Ri4 ben3
不能,5.94,1708747483737,Archive::Words,bu4 neng2
计划,5.94,1537328246877,Archive::Words,ji4 hua4
需要,5.93,1393817665963,Archive::Words,xu1 yao4
国际,5.89,1393817666623,Archive::Words,guo2 ji4
地区,5.89,1393817667129,Archive::Words,di4 qu1
时候,5.89,1537328242357,Archive::Words,shi2 hou5
使用,5.87,1537328245411,Archive::Words,shi3 yong4
经济,5.87,1393817666652,Archive::Words,jing1 ji4
活动,5.86,1537328244236,Archive::Words,huo2 dong4
历史,5.85,1537328245407,Archive::Words,li4 shi3
应该,5.85,1393817665964,Archive::Words,ying1 gai1
不会,5.84,1708747483734,Archive::Words,bu4 hui4
以及,5.84,1393817666929,Archive::Words,yi3 ji2
情况,5.84,1537328244747,Archive::Words,qing2 kuang4
真的,5.84,1537328241634,Archive::Words,zhen1 de5
组织,5.84,1537328247024,Archive::Words,zu3 zhi1
人民,5.83,1537328247474,Archive::Words,ren2 min2
其他,5.83,1393817665995,Archive::Words,qi2 ta1
网站,5.82,1537328245005,Archive::Words,wang3 zhan4
香港,5.82,1537328246738,Archive::Words,Xiang1 gang3
生活,5.81,1393817666271,Archive::Words,sheng1 huo2
通过,5.80,1393817666334,Archive::Words,tong1 guo4
必须,5.79,1393817665986,Archive::Words,bi4 xu1
所以,5.78,1537328239785,Archive::Words,suo3 yi3
所有,5.78,1537328243708,Archive::Words,suo3 you3
包括,5.77,1537328242574,Archive::Words,bao1 kuo4
一些,5.76,1537328242103,Archive::Words,yi1 xie1
决定,5.76,1393817666014,Archive::Words,jue2 ding4
其中,5.75,1537328246966,Archive::Words,qi2 zhong1
北京,5.75,1393817665798,Archive::Words,Bei3 jing1
觉得,5.75,1537328241069,Archive::Words,jue2 de5
影响,5.74,1393817666103,Archive::Words,ying3 xiang3
喜欢,5.73,1393817665695,Archive::Words,xi3 huan5
不过,5.72,1393817666260,Archive::Words,bu4 guo4
希望,5.72,1393817665846,Archive::Words,xi1 wang4
提供,5.72,1537328243483,Archive::Words,ti2 gong1
要求,5.72,1393817666063,Archive::Words,yao1 qiu2
不同,5.71,1537328242689,Archive::Words,bu4 tong2
电影,5.71,1393817665751,Archive::Words,dian4 ying3
不要,5.70,1537328239576,Archive::Words,bu4 yao4
关系,5.69,1393817666011,Archive::Words,guan1 xi5
研究,5.69,1537328246429,Archive::Words,yan2 jiu1
根据,5.68,1393817666111,Archive::Words,gen1 ju4
系统,5.68,1393817666916,Archive::Words,xi4 tong3
任何,5.67,1537328245212,Archive::Words,ren4 he2
服务,5.67,1537328243015,Archive::Words,fu2 wu4
结果,5.67,1393817666319,Archive::Words,jie1 guo3
这里,5.67,1537328240666,Archive::Words,zhe4 li3
因此,5.66,1537328247070,Archive::Words,yin1 ci3
游戏,5.66,1393817666054,Archive::Words,you2 xi4
虽然,5.66,1537328245126,Archive::Words,sui1 ran2
代表,5.65,1537328246252,Archive::Words,dai4 biao3
而且,5.65,1537328244174,Archive::Words,er2 qie3
一直,5.64,1393817665977,Archive::Words,yi1 zhi2
市场,5.64,1537328244538,Personal|Personal-reverse,shi4 chang3
继续,5.64,1393817666277,Archive::Words,ji4 xu4
东西,5.63,1537328240386,Archive::Words,dong1 xi1
之后,5.63,1537328241766,Archive::Words,zhi1 hou4
内容,5.63,1393817666589,Archive::Words,nei4 rong2
对于,5.63,1537328247567,Archive::Words,dui4 yu2
教育,5.63,1393817666606,Personal,jiao4 yu4
特别,5.63,1537328243506,Archive::Words,te4 bie2
由于,5.63,1393817666559,Archive::Words,you2 yu2
获得,5.63,1393817666452,Archive::Words,huo4 de2
许多,5.63,1393817666501,Archive::Words,xu3 duo1
学校,5.62,1393817665750,Archive::Words,xue2 xiao4
表示,5.62,1393817666525,Archive::Words,biao3 shi4
资料,5.62,1393817667038,Archive::Words,zi1 liao4
关于,5.61,1393817666015,Archive::Words,guan1 yu2
孩子,5.61,1537328239678,Archive::Words,hai2 zi5
部分,5.60,1537328240875,Archive::Words,bu4 fen5
非常,5.59,1537328241070,Archive::Words,fei1 chang2
台湾,5.58,1537328244890,Archive::Words,Tai2 wan1
建设,5.58,1393817667904,Archive::Words,jian4 she4
新闻,5.58,1537328245527,Archive::Words,xin1 wen2
参加,5.57,1537328246117,Archive::Words,can1 jia1
那些,5.57,1537328242106,Archive::Words,na4 xie1
单位,5.56,1393817667574,Archive::Words,dan1 wei4
建立,5.56,1393817667159,Archive::Words,jian4 li4
得到,5.56,1537328247205,Archive::Words,de2 dao4
国内,5.55,1537328244439,Archive::Words,guo2 nei4
委员会,5.55,1707757568777,Archive::Words,wei3 yuan2 hui4
选择,5.55,1537328245751,Archive::Words,xuan3 ze2
一切,5.54,1393817666262,Archive::Words,yi1 qie4
一次,5.54,1537328240258,Archive::Words,yi1 ci4
无法,5.54,1537328244669,Archive::Words,wu2 fa3
管理,5.54,1537328243781,Archive::Words,guan3 li3
能够,5.54,1537328243830,Archive::Words,neng2 gou4
记者,5.54,1537328244196,Archive::Words,ji4 zhe3
领导,5.54,1537328245805,Archive::Words,ling3 dao3
上海,5.53,1537328240534,Archive::Words,Shang4 hai3
一般,5.52,1393817666118,Archive::Words,yi1 ban1
环境,5.52,1537328246581,Archive::Words,huan2 jing4
网络,5.52,1393817667269,Archive::Words,Wang3 luo4
保护,5.51,1537328243719,Archive::Words,bao3 hu4
民主,5.51,1393817668743,Archive::Words,min2 zhu3
甚至,5.51,1393817666316,Archive::Words,shen4 zhi4
机构,5.50,1393817668283,Archive::Words,ji1 gou4
法律,5.50,1537328246554,Archive::Words,fa3 lu:4
视频,5.50,1393817668407,Archive::Words,shi4 pin2
过程,5.50,1537328247833,Archive::Words,guo4 cheng2
准备,5.49,1393817665847,Archive::Words,zhun3 bei4
直接,5.49,1393817666367,Archive::Words,zhi2 jie1
设计,5.49,1393817667002,Archive::Words,she4 ji4
之间,5.48,1672769484639,Archive::Words,zhi1 jian1
事情,5.48,1393817665843,Archive::Words,shi4 qing5
哪里,5.48,1537328240671,Archive::Words,na3 li3
存在,5.48,1393817666927,Archive::Words,cun2 zai4
总统,5.48,1537328246863,Archive::Words,zong3 tong3
或者,5.48,1393817665997,Archive::Words,huo4 zhe3
战争,5.48,1537328244903,Archive::Words,zhan4 zheng1
报告,5.48,1393817666918,Archive::Words,bao4 gao4
比较,5.48,1393817666095,Archive::Words,bi3 jiao4
照片,5.48,1393817666023,Archive::Words,zhao4 pian4
英国,5.48,1537328239541,Archive::Words,Ying1 guo2
接受,5.47,1393817666311,Archive::Words,jie1 shou4
改变,5.47,1537328244725,Archive::Words,gai3 bian4
政策,5.47,1393817668625,Archive::Words,zheng4 ce4
时期,5.47,1393817667351,Archive::Words,shi2 qi1
科技,5.47,1707757024298,Archive::Words,ke1 ji4
不断,5.46,1393817667188,Archive::Words,bu4 duan4
以后,5.46,1537328241737,Archive::Words,yi3 hou4
故事,5.46,1537328242842,Archive::Words,gu4 shi4
有些,5.46,1707755853395,Archive::Characters,you3 xie1
认识,5.46,1393817665726,Archive::Words,ren4 shi5
资源,5.46,1537328246454,Archive::Words,Zi1 yuan2
集团,5.46,1393817668478,Archive::Words,ji2 tuan2
专业,5.45,1393817666551,Archive::Words,zhuan1 ye4
之前,5.45,1537328241767,Archive::Words,zhi1 qian2
任务,5.45,1537328247358,Archive::Words,ren4 wu5
参与,5.45,1393817667063,Archive::Words,can1 yu4
是否,5.45,1537328246545,Archive::Words,shi4 fou3
科学,5.45,1393817666580,Archive::Words,ke1 xue2
规定,5.45,1537328246550,Archive::Words,gui1 ding4
举行,5.44,1537328245623,Archive::Words,ju3 xing2
