cid,nid,simplified,pinyin,zipf,state,queue_pos_current,flag
1707757282812,1707757282812,,,0.00,new,150,
1708747553945,1708747518674,车到山前必有路,chē dào shān qián bì yǒu lù,0.00,new,3198,ZERO_FREQ
1708747559029,1708747521216,上有老下有小,shàng yǒu lǎo xià yǒu xiǎo,0.21,new,3387,RARE_IDIOM_JUNK
1708747567789,1708747525596,支支吾吾,zhī zhī wú wú,0.82,new,3673,RARE_IDIOM_JUNK
1708747570825,1708747527114,三千大千世界,sān qiān dà qiān shì jiè,0.84,new,3714,RARE_IDIOM_JUNK
1611220135830,1611220135766,坐井观天,zuò jǐng guān tiān,0.86,new,792,RARE_IDIOM_JUNK
1708747551719,1708747517561,左思右想,zuǒ sī yòu xiǎng,0.97,new,3129,RARE_IDIOM_JUNK
1708747557959,1708747520681,安家立业,ān jiā lì yè,1.00,new,3356,RARE_IDIOM_JUNK
1708747529401,1708747506402,大功告成,dà gōng gào chéng,1.01,new,2406,RARE_IDIOM_JUNK
1708747545029,1708747514216,就地正法,jiù dì zhèng fǎ,1.03,new,2893,RARE_IDIOM_JUNK
1708747557773,1708747520588,品头论足,pǐn tóu lùn zú,1.09,new,3347,RARE_IDIOM_JUNK
1708747550843,1708747517123,三思而后行,sān sī ér hòu xíng,1.10,new,3097,RARE_IDIOM_JUNK
1708747551427,1708747517415,一语中的,yī yǔ zhòng dì,1.10,new,3120,RARE_IDIOM_JUNK
1708747534213,1708747508808,从长计议,cóng cháng jì yì,1.11,new,2550,RARE_IDIOM_JUNK
1708747561141,1708747522272,白头到老,bái tóu dào lǎo,1.11,new,3450,RARE_IDIOM_JUNK
1708747551085,1708747517244,入土为安,rù tǔ wéi ān,1.13,new,3111,RARE_IDIOM_JUNK
1708747543595,1708747513499,十有八九,shí yǒu bā jiǔ,1.15,new,2836,RARE_IDIOM_JUNK
1708747560565,1708747521984,思前想后,sī qián xiǎng hòu,1.15,new,3429,RARE_IDIOM_JUNK
1708747551487,1708747517445,平步青云,píng bù qīng yún,1.16,new,3121,RARE_IDIOM_JUNK
1708747520133,1708747501768,占为己有,zhàn wéi jǐ yǒu,1.18,new,2094,RARE_IDIOM_JUNK
1708747530861,1708747507132,说三道四,shuō sān dào sì,1.18,new,2456,RARE_IDIOM_JUNK
1708747560145,1708747521774,小试牛刀,xiǎo shì niú dāo,1.23,new,3421,RARE_IDIOM_JUNK
1717270517604,1717270479472,成家立业,chéng jiā lì yè,1.29,new,1,RARE_IDIOM_JUNK
1708747540647,1708747512025,有两下子,yǒu liǎng xià zi,1.30,new,2746,RARE_IDIOM_JUNK
1717270519290,1717270480315,似水年华,sì shuǐ nián huá,1.36,new,325,RARE_IDIOM_JUNK
1708747509391,1708747496397,白手起家,bái shǒu qǐ jiā,1.36,new,1713,RARE_IDIOM_JUNK
1717270489734,1717270465537,平心而论,píng xīn ér lùn,1.38,new,155,RARE_IDIOM_JUNK
1717270528926,1717270485133,坐而论道,zuò ér lùn dào,1.39,new,426,RARE_IDIOM_JUNK
1708747535525,1708747509464,正儿八经,zhèng ér bā jīng,1.40,new,2590,RARE_IDIOM_JUNK
1708747548245,1708747515824,信口开河,xìn kǒu kāi hé,1.40,new,3005,RARE_IDIOM_JUNK
1708747563361,1708747523382,头头是道,tóu tóu shì dào,1.40,new,3537,RARE_IDIOM_JUNK
1708747566007,1708747524705,老成持重,lǎo chéng chí zhòng,1.40,new,3616,RARE_IDIOM_JUNK
1708747553559,1708747518481,治外法权,zhì wài fǎ quán,1.44,new,3184,RARE_IDIOM_JUNK
1708747524181,1708747503792,有备而来,yǒu bèi ér lái,1.45,new,2224,RARE_IDIOM_JUNK
1708747530835,1708747507119,为时过早,wéi shí guò zǎo,1.45,new,2455,RARE_IDIOM_JUNK
1717270529154,1717270485247,天公作美,tiān gōng zuò měi,1.54,new,429,RARE_IDIOM_JUNK
1708747550387,1708747516895,同日而语,tóng rì ér yǔ,1.54,new,3078,RARE_IDIOM_JUNK
1708747556263,1708747519833,方方正正,fāng fāng zhèng zhèng,1.56,new,3286,RARE_IDIOM_JUNK
1708747547699,1708747515551,天上下刀子,tiān shàng xià dāo zi,1.57,new,2987,RARE_IDIOM_JUNK
1708747562819,1708747523111,三七二十一,sān qī èr shí yī,1.57,new,3524,RARE_IDIOM_JUNK
1717270519264,1717270480302,最小公分母,zuì xiǎo gōng fēn mǔ,1.60,new,324,RARE_IDIOM_JUNK
1708747551379,1708747517391,三言两语,sān yán liǎng yǔ,1.61,new,3118,RARE_IDIOM_JUNK
1708747563335,1708747523369,老生常谈,lǎo shēng cháng tán,1.62,new,3536,RARE_IDIOM_JUNK
1708747550519,1708747516961,走为上计,zǒu wéi shàng jì,1.63,new,3082,RARE_IDIOM_JUNK
1708747550967,1708747517185,至理名言,zhì lǐ míng yán,1.63,new,3104,RARE_IDIOM_JUNK
1708747557099,1708747520251,一五一十,yī wǔ yī shí,1.63,new,3324,RARE_IDIOM_JUNK
1708747514575,1708747498989,天经地义,tiān jīng dì yì,1.65,new,1905,RARE_IDIOM_JUNK
1708747532645,1708747508024,好言好语,hǎo yán hǎo yǔ,1.65,new,2514,RARE_IDIOM_JUNK
1708747511325,1708747497364,功成名就,gōng chéng míng jiù,1.67,new,1784,RARE_IDIOM_JUNK
1711055375940,1711055375210,转化生长因子,zhuǎn huà shēngzhǎng yīnzi,1.68,new,3826,RARE_IDIOM_JUNK
1717270518720,1717270480030,自高自大,zì gāo zì dà,1.72,new,317,RARE_IDIOM_JUNK
1708747559067,1708747521235,担担面,dàn dàn miàn,1.74,new,3390,RARE_IDIOM_JUNK
1710963512297,1710963490283,一心二用,yī xīn èr yòng,1.76,new,3728,RARE_IDIOM_JUNK
1708747521261,1708747502332,地地道道,dì dì dào dào,1.77,new,2087,RARE_IDIOM_JUNK
1726619556175,1726619556161,家大业大,Jiā dàyè dà,1.77,new,3831,RARE_IDIOM_JUNK
1708747557821,1708747520612,大大方方,dà dà fāng fāng,1.78,new,3351,RARE_IDIOM_JUNK
1708747531281,1708747507342,出人头地,chū rén tóu dì,1.82,new,48,RARE_IDIOM_JUNK
1708747535329,1708747509366,转来转去,zhuàn lái zhuàn qù,1.85,new,2586,RARE_IDIOM_JUNK
1717270533730,1717270487535,定心丸,dìng xīn wán,1.86,new,478,RARE_IDIOM_JUNK
1708747543251,1708747513327,重见天日,chóng jiàn tiān rì,1.86,new,2823,RARE_IDIOM_JUNK
1717270526616,1717270483978,两面三刀,liǎng miàn sān dāo,1.88,new,399,RARE_IDIOM_JUNK
1708747515003,1708747499203,合而为一,hé ér wéi yī,1.88,new,1915,RARE_IDIOM_JUNK
1717270526812,1717270484076,语重心长,yǔ zhòng xīn cháng,1.90,new,402,RARE_IDIOM_JUNK
1708747522885,1708747503144,入木三分,rù mù sān fēn,1.92,new,2180,RARE_IDIOM_JUNK
1708747557427,1708747520415,三思而行,sān sī ér xíng,1.95,new,3335,RARE_IDIOM_JUNK
1708747557709,1708747520556,休养生息,xiū yǎng shēng xī,1.95,new,3344,RARE_IDIOM_JUNK
1708747566451,1708747524927,人机界面,rén jī jiè miàn,1.97,new,3632,RARE_IDIOM_JUNK
1717270518440,1717270479890,谈天说地,tán tiān shuō dì,1.98,new,316,RARE_IDIOM_JUNK
1708747528537,1708747505970,当回事儿,dàng huí shì r,2.02,new,2380,
1708747553331,1708747518367,人人有责,rén rén yǒu zé,2.02,new,3177,
1717270536246,1717270488793,试衣间,shì yī jiān,2.03,new,525,RARE_EARLY
1717270527286,1717270484313,牛头犬,niú tóu quǎn,2.04,new,411,RARE_EARLY
1710963522995,1710963495632,过路人,guò lù rén,2.05,new,3759,
1717270527248,1717270484294,衣原体,yī yuán tǐ,2.06,new,410,RARE_EARLY
1717270535896,1717270488618,后现代主义,hòu xiàn dài zhǔ yì,2.06,new,512,RARE_EARLY
1708747558019,1708747520711,永永远远,yǒng yǒng yuǎn yuǎn,2.06,new,3358,
1711055374486,1711055374483,动作电位,dòngzuò diànwèi,2.07,new,3813,
1656144348663,1656144348662,牛油果,niúyóuguǒ,2.10,new,673,RARE_EARLY
1708747567105,1708747525254,十二地支,shí èr dì zhī,2.10,new,3661,
1708747569469,1708747526436,天外来客,tiān wài lái kè,2.10,new,3696,
1708747555977,1708747519690,心想事成,xīn xiǎng shì chéng,2.11,new,3275,
1710963523771,1710963496020,汉白玉,hàn bái yù,2.12,new,3770,
1708747546581,1708747514992,看门人,kān mén rén,2.13,new,2943,
1708747562613,1708747523008,当家作主,dāng jiā zuò zhǔ,2.13,new,3513,
1711055374828,1711055374654,电泳,diànyǒng,2.14,new,668,RARE_EARLY
1708747554225,1708747518814,同道中人,tóng dào zhōng rén,2.15,new,3214,
1708747567327,1708747525365,小心眼儿,xiǎo xīn yǎn r,2.16,new,3665,
1708747553497,1708747518450,小两口,xiǎo liǎng kǒu,2.17,new,3183,
1537328250857,1537328240859,两口人,liǎng kǒu rén,2.17,new,3917,
1717270518202,1717270479771,美发师,měi fà shī,2.18,new,312,RARE_EARLY
1717270524288,1717270482814,万众一心,wàn zhòng yī xīn,2.18,new,363,RARE_EARLY
1537328255369,1537328243115,改天见,gǎi tiān jiàn,2.18,new,902,RARE_EARLY
1708747539627,1708747511515,大老远,dà lǎo yuǎn,2.18,new,2705,
1717270527366,1717270484353,有约在先,yǒu yuē zài xiān,2.19,new,412,RARE_EARLY
1708747522691,1708747503047,小道消息,xiǎo dào xiāo xi,2.19,new,2173,
1710963532991,1710963500630,三三两两,sān sān liǎng liǎng,2.20,new,3787,
1717270526986,1717270484163,沙文主义,shā wén zhǔ yì,2.21,new,406,RARE_EARLY
1708747561245,1708747522324,负心汉,fù xīn hàn,2.22,new,3458,
1717270508916,1717270475128,加大油门,jiā dà yóu mén,2.23,new,253,RARE_EARLY
1708747527609,1708747505506,作息时间,zuò xī shí jiān,2.23,new,2336,
1717270514464,1717270477902,美工刀,měi gōng dāo,2.24,new,276,RARE_EARLY
1708747550867,1708747517135,自学成才,zì xué chéng cái,2.24,new,3098,
1708747556441,1708747519922,没天理,méi tiān lǐ,2.24,new,3296,
1708747567103,1708747525253,公勺,gōng sháo,2.24,new,3660,
1717270538398,1717270489869,哥布林,gē bù lín,2.25,new,566,RARE_EARLY
1708747553713,1708747518558,一言一行,yī yán yī xíng,2.25,new,3190,
1708747558431,1708747520917,哪儿跟哪儿,nǎ r gēn nǎ r,2.25,new,3372,
1717270536132,1717270488736,出水口,chū shuǐ kǒu,2.27,new,519,RARE_EARLY
1537328250297,1537328240579,昨早,zuó zǎo,2.27,new,716,RARE_EARLY
1393817673176,1393817668175,心眼儿,xīnyǎnr,2.27,new,845,RARE_EARLY
1537328262923,1537328246892,一转眼,yī zhuǎn yǎn,2.27,new,1085,RARE_EARLY
1708747552835,1708747518119,时来运转,shí lái yùn zhuǎn,2.28,new,3165,
1708747517877,1708747500640,心上人,xīn shàng rén,2.29,new,2022,
1708747553987,1708747518695,先来后到,xiān lái hòu dào,2.29,new,3201,
1708747542045,1708747512724,两下子,liǎng xià zi,2.30,new,2782,
1698564174979,1672769487098,从军去,Cóngjūn qù,2.31,new,127,RARE_EARLY
1717270507518,1717270474429,哈利路亚,hā lì lù yà,2.31,new,237,RARE_EARLY
1708747544471,1708747513937,冰河时代,bīng hé shí dài,2.31,new,2866,
1717270499716,1717270470528,加仑,jiā lún,2.32,new,193,RARE_EARLY
1708747558177,1708747520790,一夕,yī xī,2.32,new,3364,
1537328250855,1537328240858,几口人,jǐ kǒu rén,2.33,new,3916,
1717270518036,1717270479688,乍现,zhà xiàn,2.34,new,308,RARE_EARLY
1717270527486,1717270484413,面巾,miàn jīn,2.34,new,415,RARE_EARLY
1708747527563,1708747505483,三十六计,sān shí liù jì,2.34,new,2333,
1708747539247,1708747511325,天文学大成,Tiān wén xué Dà chéng,2.34,new,2700,
1708747557567,1708747520485,明眼人,míng yǎn rén,2.34,new,3338,
1708747558711,1708747521057,手巾,shǒu jīn,2.34,new,3379,
1708747560583,1708747521993,向心力,xiàng xīn lì,2.34,new,3430,
1717270511034,1717270476187,三合会,sān hé huì,2.35,new,263,RARE_EARLY
1708747492041,1708747487722,古生代,Gǔ shēng dài,2.35,new,1188,RARE_EARLY
1708747531769,1708747507586,乍看,zhà kàn,2.35,new,2481,
1708747558161,1708747520782,火上加油,huǒ shàng jiā yóu,2.35,new,3363,
1708747568531,1708747525967,二十六岁,èr shí liù suì,2.35,new,3682,
1708747533617,1708747508510,长记性,zhǎng jì xing,2.37,new,2536,
1717270526510,1717270483925,八字步,bā zì bù,2.38,new,398,RARE_EARLY
1708747556353,1708747519878,左至右,zuǒ zhì yòu,2.38,new,3292,
1774798649305,1774798649304,一心多用,yīxīn duōyòng,2.39,new,3990,
1774798649306,1774798649304,一心多用,yīxīn duōyòng,2.39,new,3990,
1708747520967,1708747502185,一年到头,yī nián dào tóu,2.40,new,2121,
1708747540539,1708747511971,哥特式,gē tè shì,2.40,new,2741,
1708747558511,1708747520957,心眼好,xīn yǎn hǎo,2.40,new,3374,
1708747561035,1708747522219,油然而生,yóu rán ér shēng,2.40,new,3447,
1708747561237,1708747522320,前方高能,qián fāng gāo néng,2.40,new,3456,
1708747565669,1708747524536,心眼多,xīn yǎn duō,2.40,new,3605,
1708747557573,1708747520488,能说会道,néng shuō huì dào,2.41,new,3339,
1708747544635,1708747514019,看走眼,kàn zǒu yǎn,2.42,new,2875,
1717270528722,1717270485031,没长眼,méi zhǎng yǎn,2.43,new,423,RARE_EARLY
1708747528445,1708747505924,外边儿,wài bian r,2.43,new,2375,
1708747563599,1708747523501,平平常常,píng píng cháng cháng,2.43,new,3547,
1708747566221,1708747524812,自下而上,zì xià ér shàng,2.44,new,3624,
1708747555889,1708747519646,没大没小,méi dà méi xiǎo,2.45,new,3274,
1710963522763,1710963495516,古文字学,gǔ wén zì xué,2.45,new,3755,
1708747509187,1708747496295,过家家,guò jiā jiā,2.46,new,1707,
1708747528575,1708747505989,出老千,chū lǎo qiān,2.46,new,2381,
1717270530160,1717270485750,进水口,jìn shuǐ kǒu,2.47,new,442,RARE_EARLY
1717270536212,1717270488776,两分法,liǎng fēn fǎ,2.47,new,524,RARE_EARLY
1708747547563,1708747515483,中转站,zhōng zhuǎn zhàn,2.48,new,2983,
1708747562315,1708747522859,造山运动,zào shān yùn dòng,2.48,new,3499,
1708747563135,1708747523269,口水战,kǒu shuǐ zhàn,2.48,new,3530,
1708747565291,1708747524347,昌明,chāng míng,2.48,new,3598,
1708747535849,1708747509626,二元论,èr yuán lùn,2.49,new,2604,
1708747556977,1708747520190,三只手,sān zhī shǒu,2.49,new,3319,
1717270507330,1717270474335,语义学,yǔ yì xué,2.50,new,233,RARE_EARLY
1708747498387,1708747490895,大千世界,dà qiān shì jiè,2.50,new,1350,
1708747535655,1708747509529,加特林,Jiā tè lín,2.50,new,2595,
1710963502273,1710963485271,利他主义,lì tā zhǔ yì,2.50,new,3723,
1717270521326,1717270481333,生理学家,shēng lǐ xué jiā,2.52,new,342,RARE_EARLY
1708747519231,1708747501317,眼巴巴,yǎn bā bā,2.52,new,2059,
1726875327243,1726875327243,心中的太阳,Xīnzhōng de Tàiyáng,2.52,new,3832,
1537328252659,1537328241760,大前天,dà qián tiān,2.53,new,796,RARE_EARLY
1717270529704,1717270485522,消炎,xiāo yán,2.54,new,437,RARE_EARLY
1708747509289,1708747496346,阳炎,yáng yán,2.54,new,1711,
1708747566935,1708747525169,想也没想,xiǎng yě méi xiǎng,2.54,new,3655,
1708747567547,1708747525475,合体字,hé tǐ zì,2.54,new,3666,
1717270522220,1717270481780,加加林,Jiā jiā lín,2.55,new,350,RARE_EARLY
1708747538915,1708747511159,公证人,gōng zhèng rén,2.56,new,2691,
1708747542937,1708747513170,中立国,zhōng lì guó,2.56,new,2814,
1717270533154,1717270487247,达尔文学说,Dá ěr wén xué shuō,2.57,new,467,RARE_EARLY
1537328260057,1537328245459,同义字,tóng yì zì,2.59,new,1062,RARE_EARLY
1708747554485,1708747518944,前因后果,qián yīn hòu guǒ,2.59,new,3222,
1708747568401,1708747525902,四面体,sì miàn tǐ,2.59,new,3678,
1708747492813,1708747488108,中生代,Zhōng shēng dài,2.60,new,1206,
1708747528747,1708747506075,那还用说,nà hái yòng shuō,2.60,new,2385,
1708747554581,1708747518992,古今中外,gǔ jīn zhōng wài,2.60,new,3228,
1717270501734,1717270471537,同理心,tóng lǐ xīn,2.62,new,203,RARE_EARLY
1717270534536,1717270487938,利他行为,lì tā xíng wéi,2.62,new,496,RARE_EARLY
1717270536082,1717270488711,水力发电,shuǐ lì fā diàn,2.62,new,517,RARE_EARLY
1708747534447,1708747508925,长方体,cháng fāng tǐ,2.62,new,2554,
1708747544655,1708747514029,在高处,zài gāo chù,2.62,new,2878,
1708747494303,1708747488853,开眼界,kāi yǎn jiè,2.63,new,1246,
1708747537493,1708747510448,后坐力,hòu zuò lì,2.63,new,2647,
1708747539119,1708747511261,开尔文,Kāi ěr wén,2.63,new,2697,
1708747556813,1708747520108,事在人为,shì zài rén wéi,2.63,new,3312,
1708747564161,1708747523782,四大天王,sì dà tiān wáng,2.64,new,3561,
