wf_zipf,word,nid,jieba_seg,meaning
5.45,有为,1708747502127,有/为,promising; capable of great things
5.42,有年,1708747507539,有/年,(literary) for many years; a good harvest year
5.41,为人,1708747487797,为/人,the way one conducts oneself; one's personal character
5.39,人中,1537328239534,人/中,philtrum (groove between the nose and upper lip)
5.34,年中,1708747487413,年/中,mid-year; middle of the year
5.33,和会,1708747515068,和/会,peace conference
5.3,说中,1708747506969,说/中,to hit the nail on the head; to guess correctly; to predict 
5.28,要人,1708747512710,要/人,important person; VIP; dignitary
5.27,在后,1708747485998,在/后,behind; at the back
5.25,是日,1708747486677,是/日,(formal) this day; that day
5.25,年会,1708747509386,年/会,annual meeting; annual conference
5.23,月中,1708747525649,月/中,middle of the month
5.23,年月,1708747502088,年/月,date (year and month); years; days of one's life
5.21,说到,1708747490371,说/到,to talk about; to mention; speaking of; as for
5.19,好在,1708747488221,好/在,luckily; fortunately
5.16,日人,1708747521750,日/人,Japanese person; the Japanese
5.16,并不,1708747483932,并/不,1. not at all; 2. emphatically not
5.16,大我,1708747491601,大/我,the collective; the greater self; the larger whole
5.15,和好,1704123462589,和/好,to reconcile; to make up; to become friends again
5.14,日中,1708747504509,日/中,midday; noon
5.14,大和,1708747490527,大/和,"Yamato (ancient Japanese province, historical period, place "
5.13,大有,1708747500343,大/有,to have much (of); there is plenty of
5.13,人从,1708747494857,人/从,retinue; entourage; attendants
5.12,看在,1708747491965,看/在,for the sake of ...; out of consideration for ... (in 看在…的份上
5.09,自己人,1708747504782,自己/人,one's own people; those on our side; one of us
5.09,一说,1708747496942,一/说,an opinion; a theory; according to some
5.07,好说,1708747506570,好/说,easy to handle; not a problem; (polite reply) you flatter me
5.06,在下,1708747485534,在/下,"I; me (humble, archaic/formal self-reference)"
5.06,为时,1708747512391,为/时,timewise; in terms of time
5.05,在地,1708747484112,在/地,local; in this place
5.04,中看,1708747486883,中/看,pleasant to the eye; good-looking; nice to look at
5.03,要好,1708747489225,要/好,to be on good terms; to be close friends; to strive to impro
5.02,大月,1708747509536,大/月,solar month of 31 days; lunar month of 30 days
5.0,到时,1708747490934,到/时,at that (future) time; when the time comes
4.98,要看,1708747488761,要/看,to depend on; it depends (on)
4.97,就地,1708747513415,就/地,locally; on the spot; right there
4.96,大能,1708747500829,大/能,almighty; mighty power; (Buddhism/religion) great power
4.95,大一,1708747491385,大/一,first-year university student; freshman
4.93,要地,1708747517565,要/地,strategic location; key position
4.93,来由,1717270468105,来/由,reason; cause; origin
4.91,在前,1708747487220,在/前,ahead; in front; previously; formerly
4.91,可人,1708747504859,可/人,pleasing; agreeable; charming person; person after one's own
4.9,好去,1708747508595,好/去,bon voyage; farewell; Godspeed
4.89,多时,1708747495657,多/时,a long time; a good while
4.88,小的,1708747486345,小/的,"I, your humble servant (used by a servant addressing a super"
4.87,过从,1708747493317,过/从,to have dealings with; to associate with (someone)
4.87,了当,1708747503222,了/当,frank; straightforward; ready; settled; in order
4.86,大过,1708747510761,大/过,serious mistake; major demerit
4.85,小我,1708747509040,小/我,the individual self (as opposed to the collective); the less
4.85,做大,1708747505377,做/大,to expand; to grow bigger; to build up (a business) on a lar
4.81,出月,1708747511131,出/月,next month; after the current month
4.79,向后,1708747494039,向/后,backward; toward the back
4.79,再会,1708747504080,再/会,1. to meet again; 2. until we meet again; 3. goodbye
4.74,不比,1708747490148,不/比,1. unlike
4.73,跟人,1708747506462,跟/人,(of a woman) to marry; to follow a man as his wife
4.73,年事,1717270485094,年/事,age; years of age
4.72,比年,1710963504459,比/年,(literary) in recent years; year after year; every year
4.71,高人,1708747499102,高/人,highly skilled person; master; expert
4.71,要事,1708747506417,要/事,important matter; important business
4.71,多才,1708747513901,多/才,multi-talented; gifted in many ways
4.7,高年,1708747507001,高/年,advanced in years; aged; old age
4.7,万人,1708747487008,万/人,ten thousand people; a multitude of people
4.69,高就,1708747519774,高/就,to take up a better post; to move to a higher position (ofte
4.68,过当,1708747518031,过/当,excessive; going too far
4.68,小过,1708747520273,小/过,minor fault; small mistake; minor offense
4.67,做小,1708747514193,做/小,to become a concubine; to be taken as a concubine
4.67,万有,1708747523942,万/有,universal; all that exists
4.66,人像,1781538469372,人/像,"likeness of a person (sketch, photo, sculpture etc)"
4.65,跟从,1708747515165,跟/从,to follow; to comply with; follower
4.64,家的,1708747486039,家/的,"(dialect, old) wife"
4.63,到点,1708747506658,到/点,it's time (to do something); the time has come
4.61,高看,1708747515963,高/看,to think highly of; to value; to hold in high regard
4.61,国都,1708747514542,国/都,1. national capital
4.6,他者,1717270466521,他/者,"1. others; 2. (sociology, philosophy) the Other"
4.59,点大,1708747516715,点/大,tiny; minuscule; (of a child) small as a mite
4.57,年成,1708747521338,年/成,the year's harvest; crop yield for the year
4.56,爱爱,1781538469381,爱/爱,(coll.) to make love
4.56,好走,1537328241276,好/走,easy to walk on (of a road)
4.55,见说,1717270487507,见/说,(literary) it is said; I have heard that
4.55,元来,1717270488770,元/来,originally; as it turns out; so (variant of 原来)
4.55,上分,1708747496620,上/分,"(slang, gaming) to climb the ranks; to rank up; to gain rati"
4.54,有道,1708747506596,有/道,(of a ruler or government) enlightened; wise and just
4.54,岁时,1708747498875,岁/时,the seasons of the year; times of the year
4.54,去国,1708747520575,去/国,to leave one's country
4.53,线上,1537328247639,线/上,Online
4.52,就道,1708747524014,就/道,to set off; to take to the road; to start a journey
4.52,天年,1708747517755,天/年,natural life span
4.51,正对,1708747495428,正/对,1. directly facing
4.5,计画,1717270463146,计/画,1. variant of 計劃|计划[jì huà]
4.5,日至,1708747502835,日/至,solstice (the winter solstice and summer solstice)
4.5,就正,1708747507029,就/正,"(literary, humble) to submit one's work for comment and corr"
